Simulation ID [ ],Water Depth [m],Significant Wave Height [m],Wave Peak Period [s],Float Diameter [m],Power Takeoff Stiffness [N/m],Power Takeoff Damping [N.s/m],Expected Power Output [kW],Wave Power Transport [kW/m],Hydrodynamic Efficiency [  ],Simulation Terminal Condition
18890,90,7.8125,6.25,15,125,500000,769.11724956294,187.150982551075,0.273973893191839,COMPLETE
18891,90,7.8125,6.25,15,125,5000000,302.25972551127,187.150982551075,0.107670545421362,COMPLETE
18892,90,7.8125,6.25,15,125,50000000,43.2841190337906,187.150982551075,0.0154186095966583,COMPLETE
18893,90,7.8125,6.25,15,375,50000,220.863755103327,187.150982551075,0.0786757843293899,COMPLETE
18894,90,7.8125,6.25,15,375,500000,926.942494864367,187.150982551075,0.330194185902425,COMPLETE
18895,90,7.8125,6.25,15,375,5000000,371.030518706726,187.150982551075,0.132167983179202,COMPLETE
18896,90,7.8125,6.25,15,375,50000000,40.9782584788966,187.150982551075,0.0145972191080939,COMPLETE
18897,90,7.8125,6.25,15,625,50000,209.078483756764,187.150982551075,0.0744776511124131,COMPLETE
18898,90,7.8125,6.25,15,625,500000,980.083702741561,187.150982551075,0.349124074185785,COMPLETE
18899,90,7.8125,6.25,15,625,5000000,367.259376087206,187.150982551075,0.13082463192055,COMPLETE
189,20,1.4375,5,30,500,100000000,3.73221829089888,5.06894693219936,0.0245430220571114,COMPLETE
1890,20,1.5625,12.5,10,750,10000,1.47730180597674,14.972078604086,0.00986704548541159,COMPLETE
18900,90,7.8125,6.25,15,625,50000000,31.016739787993,187.150982551075,0.0110487405641514,COMPLETE
18901,90,7.8125,6.25,15,875,50000,288.548137928291,187.150982551075,0.102786222473093,COMPLETE
18902,90,7.8125,6.25,15,875,500000,844.324309874647,187.150982551075,0.30076404920618,COMPLETE
18903,90,7.8125,6.25,15,875,5000000,400.766837900426,187.150982551075,0.142760614073026,COMPLETE
18904,90,7.8125,6.25,15,875,50000000,43.6606071013838,187.150982551075,0.0155527216604267,COMPLETE
18905,90,7.8125,6.25,25,125,50000,183.201795551486,187.150982551075,0.0391559356096864,COMPLETE
18906,90,7.8125,6.25,25,125,500000,1184.02142742953,187.150982551075,0.253062294686357,COMPLETE
18907,90,7.8125,6.25,25,125,5000000,1607.19288371141,187.150982551075,0.343507228613729,COMPLETE
18908,90,7.8125,6.25,25,125,50000000,201.342904808462,187.150982551075,0.0430332562648478,COMPLETE
18909,90,7.8125,6.25,25,375,50000,195.547793863083,187.150982551075,0.041794660374752,COMPLETE
1891,20,1.5625,12.5,10,750,100000,6.49922249791517,14.972078604086,0.0434089525561366,COMPLETE
18910,90,7.8125,6.25,25,375,500000,1521.34368712474,187.150982551075,0.325158578680623,COMPLETE
18911,90,7.8125,6.25,25,375,5000000,1669.11662035312,187.150982551075,0.356742261804072,COMPLETE
18912,90,7.8125,6.25,25,375,50000000,266.498038370748,187.150982551075,0.056958939726222,COMPLETE
18913,90,7.8125,6.25,25,625,50000,188.384012898112,187.150982551075,0.0402635370288158,COMPLETE
18914,90,7.8125,6.25,25,625,500000,1336.95894026151,187.150982551075,0.285749809493336,COMPLETE
18915,90,7.8125,6.25,25,625,5000000,1659.44293875494,187.150982551075,0.354674694438659,COMPLETE
18916,90,7.8125,6.25,25,625,50000000,245.128166630997,187.150982551075,0.0523915318615225,COMPLETE
18917,90,7.8125,6.25,25,875,50000,218.411802222888,187.150982551075,0.046681411819632,COMPLETE
18918,90,7.8125,6.25,25,875,500000,1417.78640235524,187.150982551075,0.303025158196711,COMPLETE
18919,90,7.8125,6.25,25,875,5000000,1372.67901316065,187.150982551075,0.293384302759092,COMPLETE
1892,20,1.5625,12.5,10,750,1000000,22.7948138695333,14.972078604086,0.152248825779691,COMPLETE
18920,90,7.8125,6.25,25,875,50000000,213.107395309195,187.150982551075,0.0455476946803708,COMPLETE
18921,90,7.8125,6.25,35,125,50000,165.467802582123,187.150982551075,0.0252611631416691,COMPLETE
18922,90,7.8125,6.25,35,125,500000,974.160075399942,187.150982551075,0.148720271900421,COMPLETE
18923,90,7.8125,6.25,35,125,5000000,2521.08940504534,187.150982551075,0.384882434901352,COMPLETE
18924,90,7.8125,6.25,35,125,50000000,669.504898754535,187.150982551075,0.102210050581841,COMPLETE
18925,90,7.8125,6.25,35,375,50000,143.053861605371,187.150982551075,0.0218393359896438,COMPLETE
18926,90,7.8125,6.25,35,375,500000,1090.59572056242,187.150982551075,0.166495934488888,COMPLETE
18927,90,7.8125,6.25,35,375,5000000,2243.9249027536,187.150982551075,0.342569080881942,COMPLETE
18928,90,7.8125,6.25,35,375,50000000,573.571707890509,187.150982551075,0.0875643977883665,COMPLETE
18929,90,7.8125,6.25,35,625,50000,130.211351347995,187.150982551075,0.0198787325266278,COMPLETE
1893,20,1.5625,12.5,10,750,10000000,6.10284690298035,14.972078604086,0.040761520590166,COMPLETE
18930,90,7.8125,6.25,35,625,500000,836.998524802897,187.150982551075,0.127780486320827,COMPLETE
18931,90,7.8125,6.25,35,625,5000000,2367.16623790743,187.150982551075,0.361383734999156,COMPLETE
18932,90,7.8125,6.25,35,625,50000000,614.046184322312,187.150982551075,0.0937434388843523,COMPLETE
18933,90,7.8125,6.25,35,875,50000,137.440971935713,187.150982551075,0.0209824434738261,COMPLETE
18934,90,7.8125,6.25,35,875,500000,848.505066555031,187.150982551075,0.129537133981951,COMPLETE
18935,90,7.8125,6.25,35,875,5000000,3565.08544786979,187.150982551075,0.544264223657244,COMPLETE
18936,90,7.8125,6.25,35,875,50000000,415.714335122738,187.150982551075,0.0634650818829483,COMPLETE
18937,90,7.8125,6.25,45,125,50000,66.4744953576533,187.150982551075,0.00789315122908695,COMPLETE
18938,90,7.8125,6.25,45,125,500000,629.575152133997,187.150982551075,0.0747554661247524,COMPLETE
18939,90,7.8125,6.25,45,125,5000000,2129.52003363241,187.150982551075,0.252858236537117,COMPLETE
1894,20,1.5625,12.5,10,750,100000000,0.448659216745985,14.972078604086,0.00299663946877451,COMPLETE
18940,90,7.8125,6.25,45,125,50000000,1102.25581571465,187.150982551075,0.130881352310629,COMPLETE
18941,90,7.8125,6.25,45,375,50000,73.5467748374303,187.150982551075,0.0087329104655867,COMPLETE
18942,90,7.8125,6.25,45,375,500000,604.675316509976,187.150982551075,0.0717988710110571,COMPLETE
18943,90,7.8125,6.25,45,375,5000000,2350.96215710616,187.150982551075,0.27915217317649,COMPLETE
18944,90,7.8125,6.25,45,375,50000000,954.615668302132,187.150982551075,0.113350628613642,COMPLETE
18945,90,7.8125,6.25,45,625,50000,90.6160290552082,187.150982551075,0.0107597059182451,COMPLETE
18946,90,7.8125,6.25,45,625,500000,566.203807506913,187.150982551075,0.0672307815966348,COMPLETE
18947,90,7.8125,6.25,45,625,5000000,2619.16461730256,187.150982551075,0.310998410849351,COMPLETE
18948,90,7.8125,6.25,45,625,50000000,948.406698788988,187.150982551075,0.112613378408427,COMPLETE
18949,90,7.8125,6.25,45,875,50000,76.6692825498776,187.150982551075,0.00910367560574657,COMPLETE
1895,20,1.5625,12.5,10,1000,10000,1.32292001538459,14.972078604086,0.00883591417308987,COMPLETE
18950,90,7.8125,6.25,45,875,500000,634.490099712328,187.150982551075,0.0753390647562287,COMPLETE
18951,90,7.8125,6.25,45,875,5000000,2246.23157170511,187.150982551075,0.2667165112819,COMPLETE
18952,90,7.8125,6.25,45,875,50000000,736.312935543725,187.150982551075,0.0874294617944844,COMPLETE
18953,90,0.765625,8.75,15,125,50000,4.46107691439722,2.51635725098874,0.118188753806569,COMPLETE
18954,90,0.765625,8.75,15,125,500000,9.44821131758084,2.51635725098874,0.250314518837853,COMPLETE
18955,90,0.765625,8.75,15,125,5000000,7.87903100718027,2.51635725098874,0.208741717260388,COMPLETE
18956,90,0.765625,8.75,15,125,50000000,0.963146885531571,2.51635725098874,0.0255169620067031,COMPLETE
18957,90,0.765625,8.75,15,375,50000,4.12568964612008,2.51635725098874,0.109303230413699,COMPLETE
18958,90,0.765625,8.75,15,375,500000,10.9891486104584,2.51635725098874,0.291139069015751,COMPLETE
18959,90,0.765625,8.75,15,375,5000000,8.21775730114565,2.51635725098874,0.217715702540957,COMPLETE
1896,20,1.5625,12.5,10,1000,100000,5.69095675296361,14.972078604086,0.038010465369922,COMPLETE
18960,90,0.765625,8.75,15,375,50000000,0.618849133876971,2.51635725098874,0.0163953702952634,COMPLETE
18961,90,0.765625,8.75,15,625,50000,2.93008562291033,2.51635725098874,0.0776277062609462,COMPLETE
18962,90,0.765625,8.75,15,625,500000,10.4993140396106,2.51635725098874,0.278161723273731,COMPLETE
18963,90,0.765625,8.75,15,625,5000000,8.75888276242159,2.51635725098874,0.232051914435176,COMPLETE
18964,90,0.765625,8.75,15,625,50000000,0.826584096593264,2.51635725098874,0.021898959862674,COMPLETE
18965,90,0.765625,8.75,15,875,50000,3.19330315533794,2.51635725098874,0.084601213495771,COMPLETE
18966,90,0.765625,8.75,15,875,500000,10.7062232514463,2.51635725098874,0.28364343595594,COMPLETE
18967,90,0.765625,8.75,15,875,5000000,9.34209119473452,2.51635725098874,0.247503044094495,COMPLETE
18968,90,0.765625,8.75,15,875,50000000,0.745984200785798,2.51635725098874,0.0197636007497924,COMPLETE
18969,90,0.765625,8.75,25,125,50000,1.44521033040685,2.51635725098874,0.0229730548766712,COMPLETE
1897,20,1.5625,12.5,10,1000,1000000,24.6974209756064,14.972078604086,0.1649565276051,COMPLETE
18970,90,0.765625,8.75,25,125,500000,16.2586148368447,2.51635725098874,0.258446845422387,COMPLETE
18971,90,0.765625,8.75,25,125,5000000,35.3843046243775,2.51635725098874,0.562468697327841,COMPLETE
18972,90,0.765625,8.75,25,125,50000000,5.77900284847537,2.51635725098874,0.0918629951483186,COMPLETE
18973,90,0.765625,8.75,25,375,50000,4.11809586665318,2.51635725098874,0.065461227574663,COMPLETE
18974,90,0.765625,8.75,25,375,500000,15.9566929916433,2.51635725098874,0.25364749755423,COMPLETE
18975,90,0.765625,8.75,25,375,5000000,30.8529870155013,2.51635725098874,0.490438899379305,COMPLETE
18976,90,0.765625,8.75,25,375,50000000,5.77544464738627,2.51635725098874,0.0918064340048212,COMPLETE
