Simulation ID [ ],Water Depth [m],Significant Wave Height [m],Wave Peak Period [s],Float Diameter [m],Power Takeoff Stiffness [N/m],Power Takeoff Damping [N.s/m],Expected Power Output [kW],Wave Power Transport (deep water) [kW/m],Hydrodynamic Efficiency (deep water) [ ],Simulation Terminal Condition
16957,50,0.765625,8.75,45,375,50000,1.31940512788938,2.51635725098874,0.0116518089558137,COMPLETE
16958,50,0.765625,8.75,45,375,500000,7.29485564639063,2.51635725098874,0.0644216568173811,COMPLETE
16959,50,0.765625,8.75,45,375,5000000,37.8823509459936,2.51635725098874,0.334543126057043,COMPLETE
1696,20,15.25,10,30,1000,100000,608.015483300753,1140.96341986927,0.0177632187182775,COMPLETE
16960,50,0.765625,8.75,45,375,50000000,46.1253912877415,2.51635725098874,0.407338304161856,COMPLETE
16961,50,0.765625,8.75,45,625,50000,1.29724841641996,2.51635725098874,0.0114561406476696,COMPLETE
16962,50,0.765625,8.75,45,625,500000,8.76756832463255,2.51635725098874,0.0774273412815074,COMPLETE
16963,50,0.765625,8.75,45,625,5000000,67.1915094594837,2.51635725098874,0.593375465295518,COMPLETE
16964,50,0.765625,8.75,45,625,50000000,53.6398415249253,2.51635725098874,0.473699224489411,COMPLETE
16965,50,0.765625,8.75,45,875,50000,1.32866571280929,2.51635725098874,0.01173359017981,COMPLETE
16966,50,0.765625,8.75,45,875,500000,8.00314251431478,2.51635725098874,0.0706766145225748,COMPLETE
16967,50,0.765625,8.75,45,875,5000000,51.8537084192345,2.51635725098874,0.457925690434367,COMPLETE
16968,50,0.765625,8.75,45,875,50000000,48.2288777192897,2.51635725098874,0.425914419657749,COMPLETE
16969,50,5.61458333333333,8.75,15,125,50000,116.005895185658,135.324101053172,0.0571496598574983,COMPLETE
1697,20,15.25,10,30,1000,1000000,4130.86256223269,1140.96341986927,0.120683464818589,COMPLETE
16970,50,5.61458333333333,8.75,15,125,500000,397.450743902869,135.324101053172,0.195801901168958,COMPLETE
16971,50,5.61458333333333,8.75,15,125,5000000,346.020937299406,135.324101053172,0.17046529263522,COMPLETE
16972,50,5.61458333333333,8.75,15,125,50000000,33.8921058485425,135.324101053172,0.0166967576776909,COMPLETE
16973,50,5.61458333333333,8.75,15,375,50000,98.9479039077228,135.324101053172,0.0487461352105313,COMPLETE
16974,50,5.61458333333333,8.75,15,375,500000,386.879965481952,135.324101053172,0.190594265899926,COMPLETE
16975,50,5.61458333333333,8.75,15,375,5000000,378.195542702478,135.324101053172,0.186315933259061,COMPLETE
16976,50,5.61458333333333,8.75,15,375,50000000,39.3000506489605,135.324101053172,0.0193609516428113,COMPLETE
16977,50,5.61458333333333,8.75,15,625,50000,82.4572412145072,135.324101053172,0.0406221018393503,COMPLETE
16978,50,5.61458333333333,8.75,15,625,500000,425.252566274491,135.324101053172,0.2094983145229,COMPLETE
16979,50,5.61458333333333,8.75,15,625,5000000,353.635788036812,135.324101053172,0.174216706550969,COMPLETE
1698,20,15.25,10,30,1000,10000000,5970.87900735564,1140.96341986927,0.174439685601833,COMPLETE
16980,50,5.61458333333333,8.75,15,625,50000000,33.4313037436688,135.324101053172,0.0164697460804526,COMPLETE
16981,50,5.61458333333333,8.75,15,875,50000,90.4152616927972,135.324101053172,0.0445425764216584,COMPLETE
16982,50,5.61458333333333,8.75,15,875,500000,476.041212578798,135.324101053172,0.234519058996865,COMPLETE
16983,50,5.61458333333333,8.75,15,875,5000000,406.046313253717,135.324101053172,0.200036460661787,COMPLETE
16984,50,5.61458333333333,8.75,15,875,50000000,42.582185707695,135.324101053172,0.0209778772474355,COMPLETE
16985,50,5.61458333333333,8.75,25,125,50000,89.5442078737991,135.324101053172,0.0264680739578281,COMPLETE
16986,50,5.61458333333333,8.75,25,125,500000,657.780323672623,135.324101053172,0.194431093516495,COMPLETE
16987,50,5.61458333333333,8.75,25,125,5000000,1473.04529665604,135.324101053172,0.435412549632158,COMPLETE
16988,50,5.61458333333333,8.75,25,125,50000000,267.819487316745,135.324101053172,0.0791638696233461,COMPLETE
16989,50,5.61458333333333,8.75,25,375,50000,97.9643214363942,135.324101053172,0.0289569472618633,COMPLETE
1699,20,15.25,10,30,1000,100000000,648.527349677419,1140.96341986927,0.0189467759843322,COMPLETE
16990,50,5.61458333333333,8.75,25,375,500000,548.87985076987,135.324101053172,0.162241565692486,COMPLETE
16991,50,5.61458333333333,8.75,25,375,5000000,1478.52534225753,135.324101053172,0.437032378046711,COMPLETE
16992,50,5.61458333333333,8.75,25,375,50000000,301.06950399882,135.324101053172,0.0889921312333042,COMPLETE
16993,50,5.61458333333333,8.75,25,625,50000,96.6477314004897,135.324101053172,0.0285677808012971,COMPLETE
16994,50,5.61458333333333,8.75,25,625,500000,672.027877752973,135.324101053172,0.198642480540526,COMPLETE
16995,50,5.61458333333333,8.75,25,625,5000000,1792.71344671675,135.324101053172,0.529902192666286,COMPLETE
16996,50,5.61458333333333,8.75,25,625,50000000,305.078902155121,135.324101053172,0.090177255871147,COMPLETE
16997,50,5.61458333333333,8.75,25,875,50000,95.7333334285098,135.324101053172,0.0282974969524147,COMPLETE
16998,50,5.61458333333333,8.75,25,875,500000,553.303303492476,135.324101053172,0.163549079339554,COMPLETE
16999,50,5.61458333333333,8.75,25,875,5000000,1793.93205167922,135.324101053172,0.530262396045578,COMPLETE
17,20,0.25,5,10,750,1000000,0.11672234053873,0.153314084905841,0.0761328227673381,COMPLETE
170,20,1.4375,5,20,1000,10000,4.31927906708738,5.06894693219936,0.0426052898645487,COMPLETE
1700,20,15.25,10,40,0,10000,55.2694607702529,1140.96341986927,0.00121102613387434,COMPLETE
17000,50,5.61458333333333,8.75,25,875,50000000,293.890667846859,135.324101053172,0.0868701629819459,COMPLETE
17001,50,5.61458333333333,8.75,35,125,50000,59.9199972012557,135.324101053172,0.0126511087582484,COMPLETE
17002,50,5.61458333333333,8.75,35,125,500000,563.635799910355,135.324101053172,0.119002305369914,COMPLETE
17003,50,5.61458333333333,8.75,35,125,5000000,2532.97397109045,135.324101053172,0.534795238431789,COMPLETE
17004,50,5.61458333333333,8.75,35,125,50000000,994.522011622158,135.324101053172,0.209976747649785,COMPLETE
17005,50,5.61458333333333,8.75,35,375,50000,54.7237279637978,135.324101053172,0.0115540031118743,COMPLETE
17006,50,5.61458333333333,8.75,35,375,500000,561.390336720832,135.324101053172,0.11852821324124,COMPLETE
17007,50,5.61458333333333,8.75,35,375,5000000,2551.99218622963,135.324101053172,0.538810617593196,COMPLETE
17008,50,5.61458333333333,8.75,35,375,50000000,1141.47691880282,135.324101053172,0.241003827091335,COMPLETE
17009,50,5.61458333333333,8.75,35,625,50000,72.7394103185948,135.324101053172,0.0153577141844745,COMPLETE
1701,20,15.25,10,40,0,100000,493.467878378108,1140.96341986927,0.0108125262778944,COMPLETE
17010,50,5.61458333333333,8.75,35,625,500000,524.379434150651,135.324101053172,0.110713978002149,COMPLETE
17011,50,5.61458333333333,8.75,35,625,5000000,2707.36714955578,135.324101053172,0.571615451557821,COMPLETE
17012,50,5.61458333333333,8.75,35,625,50000000,1029.80803222742,135.324101053172,0.21742680280956,COMPLETE
17013,50,5.61458333333333,8.75,35,875,50000,54.39020595986,135.324101053172,0.0114835854993548,COMPLETE
17014,50,5.61458333333333,8.75,35,875,500000,508.131816156838,135.324101053172,0.107283564252098,COMPLETE
17015,50,5.61458333333333,8.75,35,875,5000000,2610.39077842534,135.324101053172,0.551140507040872,COMPLETE
17016,50,5.61458333333333,8.75,35,875,50000000,1063.26717820168,135.324101053172,0.224491143838429,COMPLETE
17017,50,5.61458333333333,8.75,45,125,50000,46.0168304778906,135.324101053172,0.00755664530474296,COMPLETE
17018,50,5.61458333333333,8.75,45,125,500000,405.82103720353,135.324101053172,0.0666418265556855,COMPLETE
17019,50,5.61458333333333,8.75,45,125,5000000,2430.0432088734,135.324101053172,0.399049096036252,COMPLETE
1702,20,15.25,10,40,0,1000000,4254.37027833026,1140.96341986927,0.0932188141232809,COMPLETE
17020,50,5.61458333333333,8.75,45,125,50000000,2199.20093533343,135.324101053172,0.361141374788042,COMPLETE
17021,50,5.61458333333333,8.75,45,375,50000,44.74081988798,135.324101053172,0.00734710546175697,COMPLETE
17022,50,5.61458333333333,8.75,45,375,500000,398.344588343899,135.324101053172,0.0654140828891933,COMPLETE
17023,50,5.61458333333333,8.75,45,375,5000000,2255.27842632646,135.324101053172,0.370350129598259,COMPLETE
17024,50,5.61458333333333,8.75,45,375,50000000,2528.47347117681,135.324101053172,0.415212803352797,COMPLETE
17025,50,5.61458333333333,8.75,45,625,50000,42.8727179784655,135.324101053172,0.00704033545224714,COMPLETE
17026,50,5.61458333333333,8.75,45,625,500000,382.727111612551,135.324101053172,0.0628494618366726,COMPLETE
17027,50,5.61458333333333,8.75,45,625,5000000,2683.29725386227,135.324101053172,0.440637162187217,COMPLETE
17028,50,5.61458333333333,8.75,45,625,50000000,2338.03685912175,135.324101053172,0.3839402903311,COMPLETE
17029,50,5.61458333333333,8.75,45,875,50000,42.050277995245,135.324101053172,0.00690527862253737,COMPLETE
1703,20,15.25,10,40,0,10000000,11856.5702252293,1140.96341986927,0.259792952577477,COMPLETE
17030,50,5.61458333333333,8.75,45,875,500000,391.988339709031,135.324101053172,0.064370292695396,COMPLETE
17031,50,5.61458333333333,8.75,45,875,5000000,2566.20094004915,135.324101053172,0.421408212674848,COMPLETE
17032,50,5.61458333333333,8.75,45,875,50000000,1548.3465893769,135.324101053172,0.254261448761694,COMPLETE
17033,50,10.4635416666667,8.75,15,125,50000,256.027969313321,469.999615434674,0.0363160537307443,COMPLETE
17034,50,10.4635416666667,8.75,15,125,500000,1277.65244280983,469.999615434674,0.181227445137121,COMPLETE
17035,50,10.4635416666667,8.75,15,125,5000000,707.375715063122,469.999615434674,0.10033706295822,COMPLETE
17036,50,10.4635416666667,8.75,15,125,50000000,76.9629790561987,469.999615434674,0.0109167435502432,COMPLETE
17037,50,10.4635416666667,8.75,15,375,50000,252.876647039564,469.999615434674,0.0358690572978013,COMPLETE
17038,50,10.4635416666667,8.75,15,375,500000,1384.84598708291,469.999615434674,0.196432215630949,COMPLETE
17039,50,10.4635416666667,8.75,15,375,5000000,719.568872926657,469.999615434674,0.102066590311451,COMPLETE
1704,20,15.25,10,40,0,100000000,1988.6362160791,1140.96341986927,0.0435736190452749,COMPLETE
17040,50,10.4635416666667,8.75,15,375,50000000,81.4798488486387,469.999615434674,0.0115574348251729,COMPLETE
17041,50,10.4635416666667,8.75,15,625,50000,234.77762835006,469.999615434674,0.033301818503678,COMPLETE
17042,50,10.4635416666667,8.75,15,625,500000,1388.31331162344,469.999615434674,0.196924035117132,COMPLETE
17043,50,10.4635416666667,8.75,15,625,5000000,774.328815643842,469.999615434674,0.109833964428207,COMPLETE
17044,50,10.4635416666667,8.75,15,625,50000000,80.0644687221763,469.999615434674,0.0113566715223982,COMPLETE
17045,50,10.4635416666667,8.75,15,875,50000,246.703926409582,469.999615434674,0.0349934933714674,COMPLETE
17046,50,10.4635416666667,8.75,15,875,500000,1252.64900605979,469.999615434674,0.177680855462161,COMPLETE
17047,50,10.4635416666667,8.75,15,875,5000000,720.294281649015,469.999615434674,0.102169485249878,COMPLETE
17048,50,10.4635416666667,8.75,15,875,50000000,82.4328315852145,469.999615434674,0.0116926097920282,COMPLETE
17049,50,10.4635416666667,8.75,25,125,50000,270.747375046148,469.999615434674,0.0230423486449665,COMPLETE
1705,20,15.25,10,40,250,10000,48.9589468351628,1140.96341986927,0.00107275452443455,COMPLETE
17050,50,10.4635416666667,8.75,25,125,500000,2155.59551508229,469.999615434674,0.183455087561185,COMPLETE
17051,50,10.4635416666667,8.75,25,125,5000000,3724.04760196974,469.999615434674,0.316940480772572,COMPLETE
17052,50,10.4635416666667,8.75,25,125,50000000,615.953809381933,469.999615434674,0.0524216436911145,COMPLETE
17053,50,10.4635416666667,8.75,25,375,50000,253.872000410189,469.999615434674,0.021606145373153,COMPLETE
17054,50,10.4635416666667,8.75,25,375,500000,1763.55230904539,469.999615434674,0.150089681023622,COMPLETE
17055,50,10.4635416666667,8.75,25,375,5000000,3783.34310316509,469.999615434674,0.321986910535329,COMPLETE
17056,50,10.4635416666667,8.75,25,375,50000000,508.698368894123,469.999615434674,0.0432935136275513,COMPLETE
17057,50,10.4635416666667,8.75,25,625,50000,265.252448969824,469.999615434674,0.0225746949792296,COMPLETE
17058,50,10.4635416666667,8.75,25,625,500000,1675.00841623073,469.999615434674,0.142554024405455,COMPLETE
17059,50,10.4635416666667,8.75,25,625,5000000,3677.08245114137,469.999615434674,0.312943443389047,COMPLETE
1706,20,15.25,10,40,250,100000,499.871353461294,1140.96341986927,0.010952834787608,COMPLETE
17060,50,10.4635416666667,8.75,25,625,50000000,577.847274570681,469.999615434674,0.0491785316918836,COMPLETE
