Simulation ID [ ],Water Depth [m],Significant Wave Height [m],Wave Peak Period [s],Float Diameter [m],Power Takeoff Stiffness [N/m],Power Takeoff Damping [N.s/m],Expected Power Output [kW],Wave Power Transport [kW/m],Hydrodynamic Efficiency [ ],Simulation Terminal Condition
25422,40,2.25,15,40,0,100000,14.1143779214362,37.2553226321193,0.00947138349921819,COMPLETE
25423,40,2.25,15,40,0,1000000,77.46111514862,37.2553226321193,0.0519798982238833,COMPLETE
25424,40,2.25,15,40,0,10000000,542.82873576725,37.2553226321193,0.36426253848843,COMPLETE
25425,40,2.25,15,40,0,100000000,241.577163966323,37.2553226321193,0.162109161120276,COMPLETE
25426,40,2.25,15,40,250,10000,1.25775321889066,37.2553226321193,0.000844009077112585,COMPLETE
25427,40,2.25,15,40,250,100000,9.58009345753548,37.2553226321193,0.0064286743347621,COMPLETE
25428,40,2.25,15,40,250,1000000,74.3148906096756,37.2553226321193,0.0498686398071921,COMPLETE
25429,40,2.25,15,40,250,10000000,583.853526535054,37.2553226321193,0.391792021438361,COMPLETE
2543,20,2.25,15,20,750,10000000,136.344823454436,37.2553226321193,0.182987038927006,COMPLETE
25430,40,2.25,15,40,250,100000000,305.347177003234,37.2553226321193,0.204901712983679,COMPLETE
25431,40,2.25,15,40,500,10000,1.06110840057363,37.2553226321193,0.00071205154432001,COMPLETE
25432,40,2.25,15,40,500,100000,9.4872711107892,37.2553226321193,0.00636638635804608,COMPLETE
25433,40,2.25,15,40,500,1000000,64.8590200122977,37.2553226321193,0.0435233246083743,COMPLETE
25434,40,2.25,15,40,500,10000000,472.124446657978,37.2553226321193,0.316816774961265,COMPLETE
25435,40,2.25,15,40,500,100000000,343.00373361396,37.2553226321193,0.230170959060654,COMPLETE
25436,40,2.25,15,40,750,10000,0.984484084520267,37.2553226321193,0.000660633175990471,COMPLETE
25437,40,2.25,15,40,750,100000,7.89416365427698,37.2553226321193,0.00529733947832672,COMPLETE
25438,40,2.25,15,40,750,1000000,80.2408296981468,37.2553226321193,0.0538452119248109,COMPLETE
25439,40,2.25,15,40,750,10000000,553.547985352885,37.2553226321193,0.37145563790907,COMPLETE
2544,20,2.25,15,20,750,100000000,18.423966139819,37.2553226321193,0.0247266227187829,COMPLETE
25440,40,2.25,15,40,750,100000000,269.730875822381,37.2553226321193,0.181001570222502,COMPLETE
25441,40,2.25,15,40,1000,10000,1.51771232010071,37.2553226321193,0.00101845334630938,COMPLETE
25442,40,2.25,15,40,1000,100000,8.79501270113154,37.2553226321193,0.00590184977592236,COMPLETE
25443,40,2.25,15,40,1000,1000000,66.3519368564464,37.2553226321193,0.0445251390731762,COMPLETE
25444,40,2.25,15,40,1000,10000000,557.387447481491,37.2553226321193,0.374032089981785,COMPLETE
